X,Y,Z,LINE,STN_CORR,Elev_trim,Res_trim
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,599.961578420995,16.5960925737539
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,594.92991381871,12.9442631525909
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,589.646665986312,8.22752335332101
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,584.099255762294,5.78016307211298
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,578.274475027074,4.39128452642942
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,572.158455255094,3.52100239118337
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,565.736634494515,3.08958019573807
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,558.993722695906,3.08780178904773
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,551.913665307368,3.52120878867595
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,544.479605049402,4.41472507828718
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,536.673841778538,5.80113525343955
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,528.477790344131,7.69682160162204
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,519.871936338003,10.0738337695946
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,510.835789631569,12.8318423258067
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,501.347835589814,15.7874088399285
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,491.385483845971,18.7018517237351
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,480.925014514935,21.340904097715
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,469.941521717348,23.5306057949506
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,458.408854279881,25.1802929111157
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,446.299553470541,26.272726069365
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,433.584787620734,26.8398595690139
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,420.234283478437,26.9405617176567
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,406.216254129025,26.6461788388846
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,391.497323312142,26.0327207293956
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,376.042445954415,25.1764574006062
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,359.814824728802,24.1506176391339
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,342.775822441908,23.0224606468297
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,324.884870040669,21.8507575046223
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,306.099370019369,20.684042640494
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,286.374594997003,19.5599515305788
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,265.663581223519,18.5055885878756
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,243.918411469986,17.5385826832169
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,221.228214000445,16.6686580525897
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,197.403506657427,15.8984971264954
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,172.387563947258,15.2251183067652
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,146.12082410158,14.6419037587949
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,118.540747263619,14.1398520818558
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,89.5816665837598,13.7086163792935
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,59.1746318699075,13.3373059323124
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,27.2472454203625,13.0151460916235
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
262898.176802841,3842553.43449336,599.961578420995,L1_1,9.5,,
